Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Ratio of young literate females to males (% ages 15-24),SE.ADT.1524.LT.FM.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ratio of young literate females to males (% ages 15-24),SE.ADT.1524.LT.FM.ZS,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,1.001199961,..,..
Ratio of young literate females to males (% ages 15-24),SE.ADT.1524.LT.FM.ZS,Bulgaria,BGR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,0.995519996,..,..
Ratio of young literate females to males (% ages 15-24),SE.ADT.1524.LT.FM.ZS,Burkina Faso,BFA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,1,..,..,..,..,..,..,1,..,1,1,1,..,..,0.579081655,..,..,..,1,..,..,..,1,1,..,0.881640017,0.93017,..
Ratio of young literate females to males (% ages 15-24),SE.ADT.1524.LT.FM.ZS,Burundi,BDI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,1,..,0.804621339,..,..,..,1,..,0.946179986,1,..,..,..,..,0.991379976,..
Ratio of young literate females to males (% ages 15-24),SE.ADT.1524.LT.FM.ZS,Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,1.015730023,..,..,..,..,..,..,..,..,..,..,..,1,..,..,1,..,..,..,..,..,..,1.01007998,..
Ratio of young literate females to males (% ages 15-24),SE.ADT.1524.LT.FM.ZS,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,1,0.673300028,..,..,1,1,0.9679901,..,..,..,1,1,..,..,..,..,..,1.034190059,1.01109004,..
Ratio of young literate females to males (% ages 15-24),SE.ADT.1524.LT.FM.ZS,Cameroon,CMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,0.831183195,..,..,1,..,..,1,0.844569743,..,..,..,..,..,..,0.872110009,..,0.945840001,..,..,..
Ratio of young literate females to males (% ages 15-24),SE.ADT.1524.LT.FM.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ratio of young literate females to males (% ages 15-24),SE.ADT.1524.LT.FM.ZS,Caribbean small states,CSS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.051120043,1.051010013,1.048810005,1.046560049,1.044280052,1.042219996,1.040619969,1.039289951,1.038149953,1.037230015,1.03629005,1.035380006,1.034199953,1.032619953,1.032109976,1.030750036,1.029399991,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ratio of young literate females to males (% ages 15-24),SE.ADT.1524.LT.FM.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..
Ratio of young literate females to males (% ages 15-24),SE.ADT.1524.LT.FM.ZS,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,0.552049994,..,..,..,..,..,..,..,1,0.565090001,0.612200022,..,..,..
Ratio of young literate females to males (% ages 15-24),SE.ADT.1524.LT.FM.ZS,Central Europe and the Baltics,CEB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.998989999,0.999040008,0.999080002,0.999189973,0.999220014,0.999260008,0.999300003,0.999409974,0.999409974,0.999480009,0.999539971,0.999599993,0.999679983,0.999759972,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.000499964,1.000509977,1.00059998,1.000640035,1.000949979,1.000810027,1.000749946,1.000579953,1.000530005,..
Ratio of young literate females to males (% ages 15-24),SE.ADT.1524.LT.FM.ZS,Chad,TCD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,0,..,..,..,1,..,..,..,..,..,..,..,..,..,..,0.501460016,1,..,..,0.592230022,..,..,0.740279973,..
Ratio of young literate females to males (% ages 15-24),SE.ADT.1524.LT.FM.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ratio of young literate females to males (% ages 15-24),SE.ADT.1524.LT.FM.ZS,Chile,CHL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,1.003600001,..,1,1.005100012,..,..,1.004400015,..,..,1.003499985,..,1.003999949,..,1.001199961,..,1.001399994,..,0.999800026,..,..,..,..,1.003399968,..
