Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Turkmenistan,TKM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.049249887,..,..,..,..,..,..,3.120549917,3.76267004,3.848910093,3.733860016,2.746510029
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.718830109,4.843009949,5.069139957,4.728779793,..,2.540999889,..,..,..,..,..,3.360295057,2.691465378,2.90922761,2.746546268,2.985261917,2.907445669,2.472782135,2.867230415,3.029716015,2.420746803,4.106626034,4.109913826,3.135245323
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.985690117,..,..,..,..,..,..,3.450190067,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.84568977
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Uganda,UGA,..,..,..,..,..,..,..,..,..,..,..,3.161050081,..,3.350229979,3.390919924,3.221029997,2.676589966,..,..,..,..,..,2.515520096,1.689090014,2.428359985,3.431960106,..,..,5.103650093,..,..,..,..,..,..,..,..,..,..,..,2.461669922,..,..,..,4.952370167,..,..,..,..,..,1.727399945,2.298909903,1.797469974,1.871140003,1.914720058,2.32152009,2.1378901,2.253639936,2.130520105,2.308280706,2.572221756,2.635936022,2.561050177,2.551593781
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Ukraine,UKR,..,..,..,..,..,..,..,..,..,..,4.572929859,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.456009865,4.448840141,3.618079901,4.022930145,4.525680065,5.240069866,5.400189877,5.123760223,5.848199844,5.979459763,5.902440071,6.152420044,7.050749779,7.397084713,5.937709808,6.442699909,6.41989994,5.874939919,5.742568493,5.00977993,5.417079926,5.319920063,5.441299915,5.382319927,5.140110016,5.933899879,..
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,United Arab Emirates,ARE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.860209942,3.984179974,3.894030094,..,..
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..,..,5.032050133,5.159379959,5.448609829,5.390999794,6.268780231,6.424220085,6.063350201,..,..,5.070119858,5.2884202,5.188700199,5.061500072,4.899059772,4.594089985,4.380839825,4.371809959,4.26831007,4.125110149,4.055520058,4.122479916,4.334489822,..,4.850830078,4.839260101,4.378260136,..,4.207079887,3.98845005,4.018219948,4.100140095,4.611929893,4.801290035,4.735549927,4.929769993,4.976490021,4.924449921,4.909739971,5.062630177,5.698679924,5.572189808,5.578874111,5.525300026,5.601349831,5.55452013,5.427959919,5.452569962,5.204370022,5.261159897,5.439350128,5.904580116,4.959175587,..
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.08564949,6.298923016,6.359955311,6.328607559,6.253763676,6.170983315,6.164029121,6.243318558,6.436086178,6.738698483,6.694553852,6.497683525,6.253886223,6.22925806,6.129205704,4.930630207,4.783279896,5.092969894,4.895020008,4.95746994,5.399980068,5.428299904,..,..
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Upper middle income,UMC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.052355051,3.985930085,4.031340122,3.807644963,3.991229892,4.030889988,3.981305122,4.128210068,4.209839821,4.034970045,4.5176301,3.843972921,4.229939938,4.342554331,4.344810009,4.613864899,4.346328259,4.345984459,4.148108244,4.010925651,4.042768955,4.342244864,3.957767606,3.744420052,3.738610029
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Uruguay,URY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.987130046,2.159509897,..,..,..,2.373389959,2.566790104,3.102829933,..,..,..,..,2.479079962,2.411530018,..,2.271719933,2.521399975,2.869869947,..,2.243370056,..,2.422549963,2.800960064,2.32220006,2.068209887,2.499540091,2.714750051,2.8566401,..,..,..,..,4.149370193,4.093533516,4.238920212,4.267350197,4.206369877,4.364200115,4.417870045,4.603620052,4.628339767,4.542920113,4.460659981,4.507329941,..
